family_id,region,city,address,family_members_count,children_count,average_income,has_social_support,housing_type,family_category,registration_date,last_update_date,contact_phone,email,has_disabled_member,has_elderly_member,children_under_7,children_7_18,working_members,education_level,health_status
FAM-86923,Актобе,Bowmanville,sdv-id-bPsQeN,7,5,193354.18,True,частный дом,многодетная,2023-11-09,2025-06-17,8 (062) 057-48-68,monroechristopher@example.org,False,False,0,0,1,среднее,удовлетворительное
FAM-69699,Актобе,Randymouth,sdv-id-PkDyMJ,8,3,252505.01,False,квартира,многодетная,2023-12-22,2025-06-17,8 (805) 257-75-36,monicamiller@example.net,True,False,1,0,3,высшее,удовлетворительное
FAM-78420,Нур-Султан,East Jeanneton,sdv-id-kAtjUX,5,3,222935.88,True,квартира,многодетная,2023-06-14,2025-06-17,8 (684) 014-6603,jesus07@example.org,True,True,1,0,0,высшее,плохое
FAM-87181,Нур-Султан,Jasonchester,sdv-id-yvCWfp,2,1,190746.77,True,арендуемое жильё,малоимущая,2023-05-18,2025-06-17,+7 (036) 951-8736,lawrencewatkins@example.net,True,False,1,0,0,высшее,удовлетворительное
FAM-28780,Алматы,South Wendyton,sdv-id-DmGXAG,6,5,318315.81,False,квартира,многодетная,2024-10-17,2025-04-20,8 (817) 633-9688,rhondaheath@example.org,False,True,0,0,3,высшее,отличное
FAM-26312,Караганда,Abigailport,sdv-id-sFiIUI,1,0,343278.45,False,арендуемое жильё,малоимущая,2023-07-13,2025-06-17,+7 (745) 116-67-76,brandonrichards@example.com,False,True,0,4,0,среднее специальное,хорошее
FAM-92934,Караганда,Richardview,sdv-id-AzYISp,7,0,52293.85,True,общежитие,пенсионеры,2022-12-03,2025-06-17,89682998752,cartercharles@example.org,True,True,0,-1,2,среднее специальное,плохое
FAM-22698,Караганда,North Stephenchester,sdv-id-tSmtpK,5,3,278615.93,False,частный дом,многодетная,2023-07-04,2025-02-09,80472815180,qrobertson@example.com,True,True,0,0,0,среднее,плохое
FAM-50067,Алматы,Cynthiahaven,sdv-id-xLelxM,5,2,276215.21,True,частный дом,пенсионеры,2025-06-11,2025-06-12,+7 102 670 21 10,gregory15@example.com,True,True,0,0,3,среднее,плохое
FAM-37569,Шымкент,Castilloport,sdv-id-ZsAqTi,6,5,253152.02,False,частный дом,малоимущая,2022-04-05,2025-06-17,8 968 634 6334,jonesnicole@example.net,False,False,0,2,1,начальное,плохое
FAM-84080,Караганда,Cherylberg,sdv-id-gEdMrx,4,2,294951.24,False,частный дом,инвалиды,2020-10-01,2025-04-11,+7 (444) 850-58-82,youngkelly@example.com,True,False,1,1,2,начальное,плохое
FAM-82458,Павлодар,West Matthewshire,sdv-id-VzWdCU,6,1,52293.85,True,частный дом,малоимущая,2025-02-09,2025-04-24,8 (805) 257-75-36,chad20@example.net,False,True,0,0,1,высшее,удовлетворительное
FAM-24439,Усть-Каменогорск,Christopherstad,sdv-id-RIrcad,3,1,100298.2,False,общежитие,обычная,2021-05-12,2025-06-17,8 (805) 257-75-36,allison38@example.com,False,True,0,0,1,начальное,хорошее
FAM-55338,Актобе,Schroederfurt,sdv-id-RXMDQH,6,3,353886.93,False,общежитие,пенсионеры,2020-07-13,2025-05-03,+7 (539) 161-34-85,loriduran@example.org,False,True,0,2,1,среднее специальное,плохое
FAM-11148,Нур-Султан,South Davidberg,sdv-id-TsjlWT,5,3,270482.92,True,частный дом,многодетная,2023-04-22,2025-06-17,8 044 015 7516,norrisrobert@example.org,False,False,0,0,1,среднее,хорошее
FAM-68527,Актобе,Rodneyhaven,sdv-id-lzegEm,1,1,315660.95,False,арендуемое жильё,малоимущая,2023-06-16,2024-08-02,+7 552 630 9658,uclark@example.org,True,True,1,-1,0,среднее специальное,плохое
FAM-43688,Алматы,Lake Lisa,sdv-id-oAWDJG,1,0,466463.97,False,арендуемое жильё,пенсионеры,2024-01-16,2025-06-17,+7 (420) 312-16-19,ericacooper@example.com,True,True,0,-1,0,высшее,удовлетворительное
FAM-42343,Тараз,West Maryshire,sdv-id-IxEpZB,1,0,188890.13,False,частный дом,пенсионеры,2024-08-10,2024-12-06,+71900201164,matthewjohnson@example.com,True,True,0,-1,0,среднее,плохое
FAM-72135,Алматы,North Stephenton,sdv-id-xBijJV,7,3,150012.89,False,арендуемое жильё,малоимущая,2022-11-10,2025-06-17,+7 (362) 021-95-55,psimpson@example.net,True,True,0,0,0,среднее специальное,удовлетворительное
FAM-17304,Актобе,North Michaelshire,sdv-id-xhFYeW,3,0,73273.42,False,квартира,пенсионеры,2024-09-29,2025-06-17,8 968 634 6334,olsontaylor@example.org,False,True,0,1,0,начальное,хорошее
FAM-36259,Актобе,Williamside,sdv-id-bnmavy,3,1,436939.04,True,частный дом,обычная,2025-06-11,2025-06-17,8 597 002 5922,haley60@example.org,False,True,1,0,0,высшее,отличное
FAM-43941,Алматы,Lake Cameronshire,sdv-id-jIWaSR,5,0,68136.84,True,общежитие,пенсионеры,2021-07-17,2025-06-03,+7 102 670 21 10,ian83@example.net,False,True,0,-1,0,среднее,отличное
FAM-14342,Павлодар,Elizabethport,sdv-id-vpYfSI,4,0,52293.85,True,частный дом,пенсионеры,2023-07-16,2024-12-17,+7 731 067 0057,andrewscott@example.com,False,True,0,0,1,начальное,плохое
FAM-11148,Актобе,Lake Jonathon,sdv-id-GlHKtE,1,0,322353.95,False,арендуемое жильё,малоимущая,2025-06-02,2025-06-05,+7 483 559 45 35,yevans@example.com,True,False,0,0,0,среднее специальное,удовлетворительное
FAM-73082,Шымкент,Lake Derekton,sdv-id-YLlTbJ,8,0,347134.91,False,частный дом,малоимущая,2021-11-16,2022-10-20,8 411 483 7964,irich@example.net,False,True,0,0,0,среднее специальное,отличное
FAM-64567,Шымкент,Alexisville,sdv-id-uPmSez,2,0,400305.97,False,арендуемое жильё,малоимущая,2022-07-26,2025-06-17,82100297173,murillokrista@example.com,False,False,1,2,0,среднее специальное,отличное
FAM-42251,Актобе,South Nicole,sdv-id-LDpwJU,3,0,73881.74,True,общежитие,пенсионеры,2021-11-22,2025-06-12,+7 (954) 592-9071,tylerwhite@example.com,True,True,0,0,1,высшее,плохое
FAM-81914,Шымкент,Blairfurt,sdv-id-HjxSWv,6,4,311064.21,False,частный дом,инвалиды,2024-11-22,2025-06-17,8 597 891 2192,lopezmark@example.net,True,False,1,2,1,высшее,хорошее
FAM-45250,Шымкент,Lake Brandonbury,sdv-id-SXlmFO,7,0,304388.94,False,арендуемое жильё,малоимущая,2021-12-16,2024-09-21,+7 (362) 021-95-55,lynchjodi@example.com,True,True,0,0,1,высшее,удовлетворительное
FAM-59222,Алматы,Murraytown,sdv-id-YhIymf,8,0,446426.97,False,общежитие,малоимущая,2020-07-13,2025-06-17,8 843 830 7155,bellkim@example.org,False,False,0,0,1,высшее,хорошее
FAM-96154,Усть-Каменогорск,Markview,sdv-id-fuuBZg,2,2,88864.85,True,арендуемое жильё,малоимущая,2023-12-27,2024-05-08,+75543276171,patrickgarza@example.org,False,False,2,0,0,начальное,отличное
FAM-28616,Алматы,Hallchester,sdv-id-kAiuqs,8,4,416380.49,False,арендуемое жильё,малоимущая,2020-11-18,2022-11-13,+7 151 136 0047,floresbrandon@example.net,True,True,0,0,3,высшее,удовлетворительное
FAM-51777,Павлодар,West Peggy,sdv-id-rEtDfe,6,0,497513.74,False,общежитие,пенсионеры,2025-03-22,2025-06-17,8 (706) 057-12-90,marcus45@example.net,False,True,0,-1,2,высшее,отличное
FAM-68527,Нур-Султан,Charlesfort,sdv-id-XUOeDV,6,0,362802.59,False,арендуемое жильё,малоимущая,2025-06-11,2025-06-17,+7 (274) 345-5659,susan65@example.com,True,True,0,-2,0,среднее специальное,плохое
FAM-68942,Актобе,Higginsfurt,sdv-id-VJZTNx,5,3,276687.69,False,частный дом,многодетная,2020-10-19,2025-06-17,+78039537031,dylan74@example.net,True,False,0,0,1,среднее специальное,удовлетворительное
FAM-14606,Караганда,East Dennismouth,sdv-id-qQUpUW,1,0,149009.9,True,общежитие,малоимущая,2023-08-23,2025-03-17,+7 230 834 91 54,golson@example.com,False,False,0,0,0,среднее,плохое
FAM-68573,Павлодар,Dominiqueville,sdv-id-VvzyqL,2,0,175181.91,False,общежитие,обычная,2024-03-04,2025-05-10,8 743 603 63 10,lisa07@example.net,True,True,0,0,0,среднее,удовлетворительное
FAM-51777,Алматы,Jacobchester,sdv-id-DrHGsg,3,3,62379.59,True,частный дом,многодетная,2023-06-03,2025-06-17,+7 (605) 630-91-47,jason94@example.org,True,False,1,0,0,высшее,удовлетворительное
FAM-33845,Актобе,Swansonburgh,sdv-id-xXLkjC,1,1,465680.08,False,арендуемое жильё,малоимущая,2020-12-12,2025-06-17,82147347011,udavis@example.com,False,False,1,0,0,высшее,отличное
FAM-83494,Усть-Каменогорск,Tinaton,sdv-id-ZgmZlJ,5,2,229820.09,True,общежитие,обычная,2023-07-25,2025-06-17,8 743 603 63 10,nalvarez@example.net,True,False,1,0,0,среднее,удовлетворительное
FAM-31599,Усть-Каменогорск,East Triciastad,sdv-id-bLMxGx,2,1,398519.12,False,общежитие,малоимущая,2024-03-23,2025-06-17,8 044 015 7516,kevinhall@example.net,False,True,0,0,0,высшее,плохое
FAM-33845,Актобе,West Jason,sdv-id-mKPkuo,7,0,425615.25,False,квартира,обычная,2023-02-05,2025-06-17,8 015 377 2640,valeriemorris@example.net,False,False,0,-1,0,среднее специальное,хорошее
FAM-20514,Павлодар,Khanfort,sdv-id-uzgWvw,7,0,401696.07,False,арендуемое жильё,малоимущая,2023-04-22,2025-04-25,8 040 520 3766,alexandra19@example.net,False,False,0,0,2,высшее,отличное
FAM-76714,Алматы,Jeffreytown,sdv-id-prEmZj,7,1,413808.32,False,квартира,малоимущая,2022-02-21,2025-06-17,8 (563) 755-26-60,carterpatricia@example.com,False,False,0,0,0,высшее,хорошее
FAM-92934,Усть-Каменогорск,Port Tammy,sdv-id-SfLRhc,3,2,52293.85,True,общежитие,обычная,2024-02-03,2025-06-17,8 (794) 608-9037,williamsnicholas@example.org,False,False,0,0,0,высшее,плохое
FAM-81675,Нур-Султан,Melanieburgh,sdv-id-uCQBkD,5,0,390227.55,False,квартира,пенсионеры,2022-05-18,2025-06-17,8 (342) 623-67-06,kimberlyroberson@example.org,False,True,0,0,0,высшее,хорошее
FAM-14562,Караганда,South Anthony,sdv-id-PiAGrz,3,0,204336.71,False,арендуемое жильё,пенсионеры,2022-09-21,2025-06-17,+7 084 891 1621,dsmith@example.com,True,True,0,0,3,среднее специальное,плохое
FAM-62346,Павлодар,Shawshire,sdv-id-NfhkKH,5,5,52293.85,True,общежитие,обычная,2021-09-13,2025-06-17,8 (672) 561-27-30,nunezscott@example.net,False,False,0,2,0,высшее,хорошее
FAM-64544,Нур-Султан,Crystalside,sdv-id-zinGZe,7,2,364574.03,False,арендуемое жильё,малоимущая,2022-10-02,2025-06-17,+7 (304) 041-1057,jerry76@example.org,True,True,0,0,2,высшее,удовлетворительное
FAM-94120,Алматы,New Jenniferbury,sdv-id-GkOIwG,4,4,265450.02,True,частный дом,малоимущая,2021-06-27,2025-06-17,+7 474 357 40 68,vincent06@example.net,True,False,0,0,0,высшее,плохое
FAM-36520,Усть-Каменогорск,Schwartzfurt,sdv-id-GuDMyp,7,5,307590.71,False,арендуемое жильё,малоимущая,2025-06-11,2025-06-13,8 (808) 187-4692,vlopez@example.org,True,True,1,1,0,среднее специальное,удовлетворительное
FAM-10477,Усть-Каменогорск,Powellland,sdv-id-WlFVdl,6,1,237567.47,True,общежитие,пенсионеры,2022-07-28,2024-12-14,8 728 237 30 30,yromero@example.org,False,True,1,0,2,высшее,плохое
FAM-92955,Караганда,Lake Destinymouth,sdv-id-rGSWvV,7,0,172921.37,False,квартира,инвалиды,2023-05-15,2025-03-31,8 100 725 5343,amycunningham@example.org,True,True,0,-1,5,высшее,удовлетворительное
FAM-80733,Караганда,Basstown,sdv-id-cganyu,6,5,52293.85,False,частный дом,многодетная,2024-02-04,2024-12-08,+7 (028) 072-1318,shall@example.com,False,False,0,1,0,высшее,плохое
FAM-61002,Караганда,Vegaview,sdv-id-YMNRUZ,2,0,497513.74,False,квартира,малоимущая,2023-10-17,2025-06-17,80311112168,valerie03@example.org,True,False,0,0,2,среднее специальное,плохое
FAM-57463,Нур-Султан,Kaylaside,sdv-id-PiqnAF,2,0,249144.86,True,общежитие,инвалиды,2022-08-03,2025-06-17,8 (951) 530-7407,allisonbutler@example.net,True,False,0,-1,0,начальное,плохое
FAM-59306,Тараз,Lake Chrisfort,sdv-id-yXPKLv,6,2,126526.62,False,квартира,пенсионеры,2023-08-31,2024-08-02,+71900201164,patrick47@example.org,True,True,1,0,3,начальное,удовлетворительное
FAM-10477,Нур-Султан,Chandlerburgh,sdv-id-pFqcWj,7,0,179829.87,True,общежитие,инвалиды,2024-08-28,2025-06-17,8 477 803 97 69,travis13@example.com,True,False,0,-1,3,среднее специальное,хорошее
FAM-53709,Алматы,Tylerville,sdv-id-OAlQRx,2,0,128842.56,True,частный дом,пенсионеры,2022-02-13,2025-06-17,+73461366261,beth06@example.org,True,True,0,0,2,высшее,плохое
FAM-17789,Усть-Каменогорск,Valenzuelaview,sdv-id-lbfZwh,7,4,330664.57,False,квартира,обычная,2023-08-25,2025-06-17,+7 (281) 569-5488,kimberly65@example.org,False,False,0,4,3,среднее специальное,плохое
FAM-87708,Тараз,North Matthew,sdv-id-IvJcWV,2,2,415225.81,False,частный дом,многодетная,2022-10-31,2024-11-23,+7 524 507 7457,philip14@example.com,False,False,0,0,0,высшее,хорошее
FAM-97180,Алматы,Priceton,sdv-id-wwhFHf,7,0,205171.27,False,общежитие,пенсионеры,2025-06-11,2025-06-12,8 (582) 458-02-91,denisehenson@example.net,True,True,0,-1,0,начальное,плохое
FAM-40661,Павлодар,Theresaton,sdv-id-tRzWWy,7,1,362076.2,False,арендуемое жильё,малоимущая,2021-12-05,2025-06-17,83274267741,xrojas@example.net,True,True,1,0,3,среднее специальное,удовлетворительное
FAM-63079,Нур-Султан,East Cynthiaberg,sdv-id-SzWavA,2,0,56912.36,True,частный дом,малоимущая,2023-05-08,2025-06-17,+78326528242,rosecynthia@example.org,True,False,0,0,0,среднее,удовлетворительное
FAM-23303,Алматы,Port Jeremyville,sdv-id-zfaFwa,2,1,211509.17,True,арендуемое жильё,малоимущая,2022-10-14,2025-06-17,8 (805) 257-75-36,mccoymonica@example.com,True,False,0,-1,0,начальное,удовлетворительное
FAM-24489,Алматы,West Lauraport,sdv-id-XlzUlp,2,2,52293.85,True,арендуемое жильё,малоимущая,2023-03-01,2025-06-17,8 447 011 69 80,welchtroy@example.com,True,True,0,0,0,высшее,удовлетворительное
FAM-78420,Караганда,East Laurafurt,sdv-id-aiASHK,4,3,456778.11,False,частный дом,многодетная,2022-12-20,2025-01-02,8 (432) 314-2754,anthony21@example.net,False,False,0,0,1,среднее специальное,хорошее
FAM-76714,Алматы,Brooksview,sdv-id-uRMKOU,7,2,291283.68,False,арендуемое жильё,пенсионеры,2025-06-11,2025-06-17,8 (114) 740-99-03,zwatson@example.net,False,True,0,1,1,начальное,отличное
FAM-30201,Усть-Каменогорск,North Davidberg,sdv-id-ySLBzX,6,1,277556.82,True,арендуемое жильё,малоимущая,2021-06-04,2025-06-17,8 (238) 059-7732,jessica45@example.com,True,True,0,0,2,среднее,плохое
FAM-43515,Павлодар,Mariahchester,sdv-id-dqKSHl,5,3,237435.93,False,общежитие,многодетная,2021-11-18,2024-06-08,8 743 603 63 10,owilson@example.net,True,False,0,0,0,начальное,плохое
FAM-84080,Тараз,Nicolehaven,sdv-id-fZKaHJ,2,0,391827.3,False,частный дом,инвалиды,2022-12-14,2025-06-17,+76876587991,ubrown@example.org,True,True,0,-2,1,среднее специальное,плохое
FAM-99948,Шымкент,West Sharon,sdv-id-yIdQwc,3,0,476235.07,False,общежитие,обычная,2023-06-12,2025-05-07,8 490 927 10 38,benjamin34@example.net,False,True,0,0,3,среднее специальное,хорошее
FAM-35047,Усть-Каменогорск,Martinezhaven,sdv-id-Iqqcob,2,1,198333.73,True,квартира,малоимущая,2021-08-31,2025-03-26,8 (582) 458-02-91,kristin06@example.net,False,True,0,0,0,высшее,отличное
FAM-55728,Усть-Каменогорск,New Christinetown,sdv-id-HpXLuB,5,0,300963.09,True,арендуемое жильё,пенсионеры,2023-11-17,2025-06-17,+7 273 634 59 18,philliprobbins@example.org,False,True,0,0,1,высшее,плохое
FAM-42251,Караганда,Josephshire,sdv-id-Yrwohx,7,0,433809.97,False,частный дом,инвалиды,2021-06-09,2024-08-23,+7 544 381 3405,patriciahall@example.org,True,True,0,-1,1,среднее специальное,хорошее
FAM-11516,Актобе,Smithton,sdv-id-Hmuvyw,5,0,344799.5,False,частный дом,пенсионеры,2023-10-21,2024-04-18,82147347011,teresa35@example.net,True,True,0,-1,2,среднее специальное,плохое
FAM-53709,Шымкент,South Nataliefort,sdv-id-NPfIoS,6,0,303760.19,False,квартира,малоимущая,2022-06-12,2024-11-02,+7 084 891 1621,andrewpatterson@example.com,False,True,0,-1,2,высшее,хорошее
FAM-11472,Алматы,Edwardston,sdv-id-qynDYb,4,0,227358.7,False,арендуемое жильё,малоимущая,2024-12-17,2025-06-17,+7 545 615 35 96,hollyweber@example.com,False,True,0,0,1,среднее,удовлетворительное
FAM-74657,Тараз,South Jefferyborough,sdv-id-cGpNUX,2,0,489512.39,False,общежитие,малоимущая,2021-08-29,2024-06-08,81409046463,farmerchristina@example.net,True,False,0,3,0,высшее,плохое
FAM-21455,Усть-Каменогорск,Williamberg,sdv-id-OwkvaA,1,1,229270.7,False,частный дом,обычная,2024-09-30,2025-06-17,8 260 972 84 41,lclay@example.com,True,True,0,1,0,среднее специальное,плохое
FAM-42217,Караганда,Lisachester,sdv-id-WtdaiH,6,4,450998.33,False,арендуемое жильё,многодетная,2022-12-27,2024-10-20,+7 952 915 73 50,martinezdavid@example.org,True,True,0,0,0,среднее специальное,удовлетворительное
FAM-86923,Алматы,Port Jason,sdv-id-dqwWCz,1,0,196895.09,True,квартира,пенсионеры,2024-10-16,2024-10-17,+7 094 398 0014,pbarr@example.org,False,True,4,2,0,среднее специальное,хорошее
FAM-92934,Усть-Каменогорск,Port Lisachester,sdv-id-UnESEk,6,5,207183.08,True,общежитие,многодетная,2021-10-22,2024-11-24,8 721 228 11 94,cooperjesse@example.org,False,False,0,-2,0,начальное,отличное
FAM-59306,Караганда,Port Markmouth,sdv-id-nEpkFK,6,1,156163.9,True,арендуемое жильё,малоимущая,2021-08-14,2025-05-27,+7 (795) 624-87-29,tbuckley@example.net,True,False,0,-1,0,среднее специальное,плохое
FAM-25208,Тараз,Garnerbury,sdv-id-rFbwML,2,1,339163.39,False,общежитие,обычная,2023-06-21,2024-10-05,8 968 634 6334,benjamincooper@example.com,False,False,0,4,0,среднее специальное,хорошее
FAM-95190,Шымкент,Adrianachester,sdv-id-NirKjh,8,3,174072.96,False,арендуемое жильё,малоимущая,2023-02-27,2024-10-10,+76786613156,aaron27@example.org,False,True,2,0,0,высшее,отличное
FAM-92934,Караганда,East Shirley,sdv-id-VmdknP,7,0,221931.68,True,арендуемое жильё,малоимущая,2021-08-01,2025-06-11,+7 (957) 509-70-93,lopezjeremy@example.com,False,False,0,-1,1,начальное,хорошее
FAM-65225,Караганда,New Bethtown,sdv-id-dlmdRK,6,5,378230.22,False,арендуемое жильё,малоимущая,2023-01-03,2025-06-17,89682998752,stephen84@example.com,False,False,0,0,1,среднее специальное,плохое
FAM-84990,Тараз,Baldwinville,sdv-id-fbfdZr,8,4,155443.96,True,общежитие,многодетная,2025-06-11,2025-06-17,+7 (363) 808-2246,james05@example.org,True,False,0,0,5,среднее специальное,удовлетворительное
FAM-31599,Нур-Султан,Lake Jonathanshire,sdv-id-xsQkYU,2,0,239283.87,True,общежитие,обычная,2021-09-22,2025-06-17,8 (114) 740-99-03,zdavies@example.org,False,False,0,0,0,высшее,хорошее
FAM-30864,Алматы,Amberbury,sdv-id-YkEEJe,8,0,200155.47,True,частный дом,пенсионеры,2021-06-03,2025-06-17,+7 (468) 312-1022,williamsdustin@example.org,False,True,0,0,0,начальное,отличное
FAM-43515,Актобе,North Martha,sdv-id-JJOnkJ,6,3,247464.62,True,арендуемое жильё,малоимущая,2022-10-20,2025-04-03,+7 084 891 1621,wrightgabriela@example.net,True,False,0,0,3,высшее,плохое
FAM-63010,Усть-Каменогорск,New Richardshire,sdv-id-ZrYHkM,4,4,211070.05,False,частный дом,инвалиды,2024-11-02,2025-06-17,8 263 795 0349,carrolladam@example.net,True,True,0,3,0,начальное,плохое
FAM-53709,Тараз,Willischester,sdv-id-UrNzkA,6,3,120811.47,True,арендуемое жильё,малоимущая,2021-02-11,2025-06-01,+7 230 834 91 54,stephaniedean@example.com,True,True,0,2,2,высшее,удовлетворительное
FAM-30201,Актобе,Morrisonview,sdv-id-dYfERz,5,1,418337.5,False,частный дом,инвалиды,2023-10-26,2025-06-17,8 031 574 1464,fkirk@example.com,True,False,1,0,2,среднее специальное,плохое
FAM-68573,Нур-Султан,Lake Aliciashire,sdv-id-vLGlZX,5,2,152428.53,False,частный дом,пенсионеры,2024-03-17,2025-06-17,8 728 237 30 30,sramos@example.net,True,True,2,2,1,среднее,удовлетворительное
FAM-87201,Тараз,East Katelynborough,sdv-id-Ytbstk,6,3,365626.17,False,частный дом,многодетная,2022-11-02,2025-06-17,8 (109) 312-0643,manuelwalker@example.net,False,True,0,1,1,среднее специальное,хорошее
FAM-10029,Шымкент,Lake Patricia,sdv-id-PWOcuX,8,5,293799.35,True,арендуемое жильё,малоимущая,2025-06-11,2025-06-18,+7 461 709 6270,jclark@example.org,True,True,1,3,1,начальное,плохое
FAM-24595,Нур-Султан,Simpsontown,sdv-id-isAPID,3,3,52293.85,True,частный дом,многодетная,2024-02-17,2025-06-17,8 400 620 6519,melissaesparza@example.com,False,True,0,2,0,начальное,плохое
FAM-58618,Актобе,Greenefort,sdv-id-ZeBMEJ,6,0,282734.91,False,квартира,инвалиды,2022-10-25,2024-11-10,81409046463,nhoward@example.org,True,True,0,0,2,начальное,плохое
FAM-13754,Шымкент,West Mark,sdv-id-AjWFXL,8,3,456827.63,False,квартира,пенсионеры,2022-02-06,2025-01-02,8 (957) 310-3283,dlittle@example.com,False,True,0,0,1,среднее специальное,хорошее
FAM-50067,Алматы,Joshuaborough,sdv-id-CyHewb,5,0,255464.12,False,квартира,инвалиды,2021-09-06,2025-06-17,+7 (974) 758-79-78,davidmccormick@example.com,True,False,0,0,0,высшее,плохое
FAM-92955,Павлодар,Bettyton,sdv-id-LIVMbH,5,1,52293.85,True,арендуемое жильё,малоимущая,2022-12-29,2025-06-17,+7 919 468 8887,kwalters@example.net,True,False,0,0,0,высшее,плохое
FAM-43688,Шымкент,South Erin,sdv-id-tKOLaf,7,1,303934.99,False,частный дом,малоимущая,2020-07-24,2025-06-17,+7 (072) 758-0322,mariablake@example.com,False,True,0,0,1,высшее,хорошее
FAM-53574,Караганда,Farmerberg,sdv-id-cXLUya,8,0,352682.06,False,общежитие,малоимущая,2023-07-24,2024-07-29,8 (432) 314-2754,kaitlincook@example.com,False,False,0,-2,3,среднее специальное,отличное
FAM-11516,Алматы,East Alec,sdv-id-USMLaw,6,0,384671.14,False,квартира,инвалиды,2024-07-09,2024-09-19,+7 (756) 715-7000,banksangela@example.org,True,True,0,-1,1,среднее специальное,удовлетворительное
FAM-97401,Караганда,South Richardland,sdv-id-NzpHKQ,5,5,277493.79,True,квартира,малоимущая,2022-12-29,2025-06-17,83274267741,ashlee39@example.com,True,False,1,0,0,начальное,плохое
FAM-56429,Актобе,Johnfort,sdv-id-JGtkcW,2,0,493306.17,False,частный дом,малоимущая,2023-09-04,2025-06-17,8 597 891 2192,jodyguerrero@example.org,True,False,0,0,2,среднее специальное,удовлетворительное
FAM-38880,Усть-Каменогорск,West Edwardhaven,sdv-id-dauIib,4,3,52293.85,True,общежитие,пенсионеры,2021-10-21,2025-03-19,+7 851 483 95 86,xlee@example.net,True,True,0,0,0,высшее,удовлетворительное
FAM-45250,Шымкент,Garciaport,sdv-id-MlAthp,1,0,77608.11,False,арендуемое жильё,малоимущая,2020-07-13,2025-06-17,86204083803,anthonycurry@example.net,True,True,1,1,0,среднее специальное,удовлетворительное
